session_id,item_id,rank
5127,15389,1
5127,13805,2
5127,2210,3
5127,8272,4
5127,17025,5
5127,8228,6
5127,2238,7
5127,16958,8
5127,2315,9
5127,8814,10
5127,8070,11
5127,8029,12
5127,16904,13
5127,7986,14
5127,2356,15
5127,2358,16
5127,2186,17
5127,17065,18
5127,17092,19
5127,8454,20
5127,17220,21
5127,8532,22
5127,8533,23
5127,8633,24
5127,8682,25
5127,17371,26
5127,1988,27
5127,1978,28
5127,1968,29
5127,1964,30
5127,1959,31
5127,8720,32
5127,1935,33
5127,2360,34
5127,16886,35
5127,7958,36
5127,2521,37
5127,7254,38
5127,16441,39
5127,2674,40
5127,7465,41
5127,16598,42
5127,7534,43
5127,7541,44
5127,13968,45
5127,16694,46
5127,16725,47
5127,13943,48
5127,7624,49
5127,2540,50
5127,2523,51
5127,13916,52
5127,16882,53
5127,7710,54
5127,16823,55
5127,2489,56
5127,2487,57
5127,7751,58
5127,7760,59
5127,7780,60
5127,13910,61
5127,7867,62
5127,2419,63
5127,2417,64
5127,13878,65
5127,13871,66
5127,7925,67
5127,8758,68
5127,1865,69
5127,1410,70
5127,27846,71
5127,17948,72
5127,27767,73
5127,17945,74
5127,9518,75
5127,27826,76
5127,27833,77
5127,27893,78
5127,17416,79
5127,27927,80
5127,13504,81
5127,9465,82
5127,17939,83
5127,27991,84
5127,1590,85
5127,27728,86
5127,1527,87
5127,27677,88
5127,9589,89
5127,1498,90
5127,13447,91
5127,27603,92
5127,17983,93
5127,27531,94
5127,18045,95
5127,1464,96
5127,27465,97
5127,27460,98
5127,27444,99
5127,27431,100
7019,8454,1
7019,10229,2
7019,26903,3
7019,14580,4
7019,2417,5
7019,2419,6
7019,14667,7
7019,22117,8
7019,22143,9
7019,10220,10
7019,22095,11
7019,22166,12
7019,8526,13
7019,26828,14
7019,17220,15
7019,2515,16
7019,5276,17
7019,5275,18
7019,14539,19
7019,2373,20
7019,22247,21
7019,2315,22
7019,5353,23
7019,27119,24
7019,22050,25
7019,10295,26
7019,27106,27
7019,10283,28
7019,17246,29
7019,2322,30
7019,26967,31
7019,27043,32
7019,27042,33
7019,14535,34
7019,5338,35
7019,26996,36
7019,2356,37
7019,26976,38
7019,2521,39
7019,2532,40
7019,26188,41
7019,26268,42
7019,22583,43
7019,16981,44
7019,16936,45
7019,26346,46
7019,26345,47
7019,14962,48
7019,15016,49
7019,26253,50
7019,26454,51
7019,16893,52
7019,2807,53
7019,15160,54
7019,22655,55
7019,4994,56
7019,22673,57
7019,4981,58
7019,16993,59
7019,2694,60
7019,22276,61
7019,22396,62
7019,17198,63
7019,22289,64
7019,26742,65
7019,26735,66
7019,22316,67
7019,26672,68
7019,2621,69
7019,10115,70
7019,10041,71
7019,26637,72
7019,5130,73
7019,10081,74
7019,22474,75
7019,14805,76
7019,17065,77
7019,17057,78
7019,8506,79
7019,2238,80
7019,14463,81
7019,1816,82
7019,8310,83
7019,21589,84
7019,17489,85
7019,8345,86
7019,5559,87
7019,14054,88
7019,10471,89
7019,10467,90
7019,27801,91
7019,21665,92
7019,27677,93
7019,27672,94
7019,10463,95
7019,27645,96
7019,14127,97
7019,5545,98
7019,27800,99
7019,27826,100
7060,12955,1
7060,3478,2
7060,18105,3
7060,10012,4
7060,18143,5
7060,18150,6
7060,10041,7
7060,21777,8
7060,23262,9
7060,18152,10
7060,15433,11
7060,10115,12
7060,7212,13
7060,1718,14
7060,18200,15
7060,18218,16
7060,21715,17
7060,15399,18
7060,10212,19
7060,3508,20
7060,7146,21
7060,27800,22
7060,15304,23
7060,15298,24
7060,23354,25
7060,27779,26
7060,10283,27
7060,1646,28
7060,7068,29
7060,7056,30
7060,3397,31
7060,21818,32
7060,7274,33
7060,7289,34
7060,17666,35
7060,9627,36
7060,7594,37
7060,3220,38
7060,27867,39
7060,15763,40
7060,7586,41
7060,17692,42
7060,17788,43
7060,23167,44
7060,7506,45
7060,3277,46
7060,7468,47
7060,15700,48
7060,7465,49
7060,17862,50
7060,23240,51
7060,17913,52
7060,15661,53
7060,7416,54
7060,15629,55
7060,7408,56
7060,17948,57
7060,3334,58
7060,1816,59
7060,18041,60
7060,18045,61
7060,10338,62
7060,21695,63
7060,27873,64
7060,3663,65
7060,3651,66
7060,23602,67
7060,10675,68
7060,14805,69
7060,10680,70
7060,6835,71
7060,21631,72
7060,14771,73
7060,3656,74
7060,10724,75
7060,27663,76
7060,18496,77
7060,3659,78
7060,18562,79
7060,7053,80
7060,6791,81
7060,27564,82
7060,21599,83
7060,14518,84
7060,21587,85
7060,10911,86
7060,1331,87
7060,6677,88
7060,2708,89
7060,10920,90
7060,3755,91
7060,14483,92
7060,21555,93
7060,1464,94
7060,23599,95
7060,27677,96
7060,10662,97
7060,3583,98
7060,15177,99
7060,15170,100
26270,11862,1
26270,27672,2
26270,7009,3
26270,17233,4
26270,17231,5
26270,17222,6
26270,27773,7
26270,17149,8
26270,27748,9
26270,27738,10
26270,17133,11
26270,1828,12
26270,1826,13
26270,17094,14
26270,21689,15
26270,17092,16
26270,17059,17
26270,17260,18
26270,16958,19
26270,16936,20
26270,21735,21
26270,21748,22
26270,7225,23
26270,16907,24
26270,27513,25
26270,27465,26
26270,16889,27
26270,27462,28
26270,21777,29
26270,7254,30
26270,27427,31
26270,7256,32
26270,17246,33
26270,6916,34
26270,27402,35
26270,17514,36
26270,21540,37
26270,21555,38
26270,17666,39
26270,2075,40
26270,2071,41
26270,27952,42
26270,6512,43
26270,6622,44
26270,17545,45
26270,6637,46
26270,2046,47
26270,2032,48
