session_id,item_id,rank
1302,20449,1
1302,27416,2
1302,27852,3
1302,14723,4
1302,23789,5
1302,17198,6
1302,7204,7
1302,6196,8
1302,21423,9
1302,218,10
1302,3462,11
1302,27393,12
1302,26882,13
1302,12115,14
1302,19372,15
1302,5425,16
1302,1129,17
1302,17523,18
1302,11742,19
1302,20127,20
1302,16412,21
1302,25623,22
1302,15345,23
1302,4254,24
1302,2919,25
1302,24870,26
1302,14648,27
1302,9301,28
1302,26796,29
1302,21319,30
1302,16863,31
1302,21405,32
1302,5005,33
1302,376,34
1302,7096,35
1302,9658,36
1302,25359,37
1302,14653,38
1302,21215,39
1302,21310,40
1302,26565,41
1302,20904,42
1302,16040,43
1302,5088,44
1302,15518,45
1302,2857,46
1302,14780,47
1302,26428,48
1302,24736,49
1302,3220,50
1302,21272,51
1302,16454,52
1302,16929,53
1302,22083,54
1302,22473,55
1302,27292,56
1302,5036,57
1302,3916,58
1302,12205,59
1302,8700,60
1302,11960,61
1302,17526,62
1302,2410,63
1302,4924,64
1302,10953,65
1302,27927,66
1302,4193,67
1302,23428,68
1302,2338,69
1302,18329,70
1302,18392,71
1302,27296,72
1302,25593,73
1302,12767,74
1302,22331,75
1302,22429,76
1302,3857,77
1302,5343,78
1302,8765,79
1302,20372,80
1302,6732,81
1302,22111,82
1302,25220,83
1302,24631,84
1302,25251,85
1302,18424,86
1302,23071,87
1302,1148,88
1302,8198,89
1302,16258,90
1302,25316,91
1302,23419,92
1302,23121,93
1302,25389,94
1302,25390,95
1302,24738,96
1302,2652,97
1302,18489,98
1302,23014,99
1302,8520,100
16942,20757,1
16942,19099,2
16942,8540,3
16942,9560,4
16942,11859,5
16942,11289,6
16942,20035,7
16942,21777,8
16942,9386,9
16942,15700,10
16942,27916,11
16942,21262,12
16942,2356,13
16942,1582,14
16942,8682,15
16942,5674,16
16942,7468,17
16942,11813,18
16942,20293,19
16942,25307,20
16942,15922,21
16942,3440,22
16942,17223,23
16942,24342,24
16942,5816,25
16942,25611,26
16942,389,27
16942,12578,28
16942,8503,29
16942,8487,30
16942,21448,31
16942,2346,32
16942,27104,33
16942,11151,34
16942,3722,35
16942,26194,36
16942,12127,37
16942,26526,38
16942,2759,39
16942,473,40
16942,5443,41
16942,5442,42
16942,25703,43
16942,11668,44
16942,16398,45
16942,19768,46
16942,16771,47
16942,1353,48
16942,6512,49
16942,27183,50
16942,28016,51
16942,27042,52
16942,24438,53
16942,13278,54
16942,4141,55
16942,27376,56
16942,1013,57
16942,17046,58
16942,4594,59
16942,23098,60
16942,9710,61
16942,14214,62
16942,13820,63
16942,2693,64
16942,11169,65
16942,15298,66
16942,2540,67
16942,21851,68
16942,10381,69
16942,2848,70
16942,23626,71
16942,720,72
16942,8275,73
16942,1498,74
16942,18834,75
16942,17279,76
16942,8758,77
16942,21998,78
16942,8781,79
16942,14240,80
16942,6751,81
16942,603,82
16942,2831,83
16942,8633,84
16942,26856,85
16942,1841,86
16942,8291,87
16942,2103,88
16942,16823,89
16942,17930,90
16942,13186,91
16942,14722,92
16942,23182,93
16942,12657,94
16942,12596,95
16942,17765,96
16942,6185,97
16942,22849,98
16942,14857,99
16942,21735,100
22415,26127,1
22415,21215,2
22415,2410,3
22415,26882,4
22415,5088,5
22415,18876,6
22415,19348,7
22415,25359,8
22415,16863,9
22415,20372,10
22415,25004,11
22415,22473,12
22415,2162,13
22415,26565,14
22415,15139,15
22415,6539,16
22415,13828,17
22415,27292,18
22415,6060,19
22415,16031,20
22415,16440,21
22415,16577,22
22415,16846,23
22415,18580,24
22415,16929,25
22415,17198,26
22415,997,27
22415,8700,28
22415,18489,29
22415,1273,30
22415,21606,31
22415,22083,32
22415,22209,33
22415,22228,34
22415,8053,35
22415,26428,36
22415,21542,37
22415,23789,38
22415,25623,39
22415,27416,40
22415,4171,41
22415,23014,42
22415,376,43
22415,12115,44
22415,14813,45
22415,25220,46
22415,21655,47
22415,27852,48
22415,21107,49
22415,7671,50
22415,15345,51
22415,20127,52
22415,6386,53
22415,3679,54
22415,27296,55
22415,218,56
22415,16258,57
22415,24945,58
22415,27107,59
22415,17218,60
22415,27714,61
22415,1410,62
22415,27767,63
22415,2188,64
22415,5433,65
22415,14170,66
22415,10753,67
22415,17977,68
22415,2222,69
22415,5425,70
22415,10160,71
22415,11475,72
22415,5069,73
22415,23775,74
22415,14723,75
22415,9562,76
22415,112,77
22415,6196,78
22415,26720,79
22415,5036,80
22415,20237,81
